,Fecha,Gasolina regular,Gasolina superior,Diesel bajo azufre,Diesel ultra bajo azufre,Diesel alto azufre,Mes,Año
1,2000-01-01,202645.2,308156.82,0,0,634667.06,1.0,2000.0
2,2000-02-01,205530.96,307766.31,0,0,642380.66,2.0,2000.0
3,2000-03-01,229499.56,331910.29,0,0,699807.25,3.0,2000.0
4,2000-04-01,210680.4,315648.08,0,0,586803.98,4.0,2000.0
5,2000-05-01,208164.34,319667.97,0,0,656948.2,5.0,2000.0
6,2000-06-01,195088.74,300347.7,0,0,570919.88,6.0,2000.0
7,2000-07-01,204556.77,308305.93,0,0,576436.02,7.0,2000.0
8,2000-08-01,218388.51,323011.86,0,0,593770.77,8.0,2000.0
9,2000-09-01,213906.96,326455.72,0,0,590145.4,9.0,2000.0
10,2000-10-01,213606.65,323843.63,0,0,641113.36,10.0,2000.0
11,2000-11-01,209227.48,320788.08,0,0,657086.3,11.0,2000.0
12,2000-12-01,230020.7,366987.56,0,0,673282.26,12.0,2000.0
13,2001-01-01,164547.3516666666,300242.7816666665,0,0,569328.7870238096,1.0,2001.0
14,2001-02-01,174838.8116666666,301483.401666666,0,0,597749.8317857146,2.0,2001.0
15,2001-03-01,201992.6516666666,355572.831666666,0,0,736085.9732142859,3.0,2001.0
16,2001-04-01,198683.3916666666,355826.761666666,0,0,606257.6589285719,4.0,2001.0
17,2001-05-01,182504.09166666662,336040.041666666,0,0,664082.6575,5.0,2001.0
18,2001-06-01,201379.4816666666,308804.7016666665,0,0,559333.0336904764,6.0,2001.0
19,2001-07-01,214980.2416666666,350501.971666667,0,0,589452.7346428575,7.0,2001.0
20,2001-08-01,204646.771666667,348414.6516666665,0,0,568546.3746428574,8.0,2001.0
21,2001-09-01,188292.3516666666,324393.9616666665,0,0,533108.3946428574,9.0,2001.0
22,2001-10-01,225240.9516666666,366261.631666666,0,0,603371.1846428574,10.0,2001.0
23,2001-11-01,210324.9516666666,351890.631666666,0,0,626156.1846428574,11.0,2001.0
24,2001-12-01,223209.9516666666,403561.631666666,0,0,664190.1846428574,12.0,2001.0
25,2002-01-01,200309.85166666665,368935.52583333326,0,0,726672.5991666663,1.0,2002.0
26,2002-02-01,183119.34166666665,348917.78583333327,0,0,694344.7791666662,2.0,2002.0
27,2002-03-01,212711.71166666664,385044.96583333326,0,0,656379.2891666662,3.0,2002.0
28,2002-04-01,204765.62166666664,379741.9758333333,0,0,683646.1691666662,4.0,2002.0
29,2002-05-01,201083.51166666663,375054.63583333325,0,0,707165.4691666663,5.0,2002.0
30,2002-06-01,187629.42166666663,371138.58583333326,0,0,667820.7091666663,6.0,2002.0
31,2002-07-01,201692.64166666663,399944.64583333326,0,0,656761.5991666663,7.0,2002.0
32,2002-08-01,205240.77166666664,392355.6158333333,0,0,657099.7391666662,8.0,2002.0
33,2002-09-01,177614.80166666664,347191.43583333323,0,0,653664.5991666663,9.0,2002.0
34,2002-10-01,203097.24166666664,381595.19583333324,0,0,653053.2691666662,10.0,2002.0
35,2002-11-01,207629.81166666665,384334.21583333326,0,0,671401.3291666663,11.0,2002.0
36,2002-12-01,199619.27166666664,400645.4158333333,0,0,676192.4491666663,12.0,2002.0
37,2003-01-01,193713.62,376516.58,0,0,769843.3,1.0,2003.0
38,2003-02-01,184354.61,355760.81,0,0,709783.58,2.0,2003.0
39,2003-03-01,201443.37,361880.87,0,0,786484.49,3.0,2003.0
40,2003-04-01,219004.31249999997,377395.17,0,0,709626.3875,4.0,2003.0
41,2003-05-01,200407.18,390624.27,0,0,755982.05,5.0,2003.0
42,2003-06-01,168327.72,346941.84,0,0,641540.08,6.0,2003.0
43,2003-07-01,174317.57,377178.84,0,0,631704.12,7.0,2003.0
44,2003-08-01,171665.05,355682.72,0,0,613428.55,8.0,2003.0
45,2003-09-01,174757.95,348659.02,0,0,582989.47,9.0,2003.0
46,2003-10-01,209314.45,392041.78,0,0,722763.6,10.0,2003.0
47,2003-11-01,168510,330640.23,0,0,639828.39,11.0,2003.0
48,2003-12-01,196081.99,391327.66,0,0,652872.45,12.0,2003.0
49,2004-01-01,203975.57,381547.72,0,0,656987.4,1.0,2004.0
50,2004-02-01,180290.24,339576.46,0,0,659540.43,2.0,2004.0
51,2004-03-01,206455.62,379687.46,0,0,746236.84,3.0,2004.0
52,2004-04-01,182379.92,357595.81,0,0,633766.06,4.0,2004.0
53,2004-05-01,160741.9,322596.73,0,0,556369.7,5.0,2004.0
54,2004-06-01,164782.5,318811.5,0,0,560393.48,6.0,2004.0
55,2004-07-01,182642.41,346413.66,0,0,583098.546,7.0,2004.0
56,2004-08-01,207432.8,390304.28,0,0,699610.8,8.0,2004.0
57,2004-09-01,194240.55,364689.84,0,0,612639.57,9.0,2004.0
58,2004-10-01,200323.53,380441.55,0,0,619084.79,10.0,2004.0
59,2004-11-01,214509.65,378498.6,0,0,705298.16,11.0,2004.0
60,2004-12-01,236733.03,429109.1,0,0,761864.3,12.0,2004.0
61,2005-01-01,209901.6,321382.14,0,0,724692.36,1.0,2005.0
62,2005-02-01,198775.61,375768.83,0,0,717116.77,2.0,2005.0
63,2005-03-01,231358.58,410241.928,0,0,802139.58,3.0,2005.0
64,2005-04-01,225644.89,389737.16,0,0,803996.93,4.0,2005.0
65,2005-05-01,187048.26,343762.52,0,0,715360.44,5.0,2005.0
66,2005-06-01,202161.79,351906.82,0,0,681743.36,6.0,2005.0
67,2005-07-01,213821.77,389172.65,0,0,678614.47,7.0,2005.0
68,2005-08-01,212696.38,396871.12,0,0,693681.13,8.0,2005.0
69,2005-09-01,196776.87,378887.62,0,0,666258.37,9.0,2005.0
70,2005-10-01,192270.24,328052.56,0,0,589830.24,10.0,2005.0
71,2005-11-01,185251.12,360869.14,0,0,701255.47,11.0,2005.0
72,2005-12-01,241035.13,448688.52,0,0,775027.2,12.0,2005.0
73,2006-01-01,211152.72,382078.88,0,0,750946.36,1.0,2006.0
74,2006-02-01,200551.4,367944.25,0,0,734530.76,2.0,2006.0
75,2006-03-01,233082.86,427567.58,0,0,875047.29,3.0,2006.0
76,2006-04-01,223479.45,392050.29,0,0,711185.23,4.0,2006.0
77,2006-05-01,222710.9,379832.55,0,0,734289.15,5.0,2006.0
78,2006-06-01,196511.22,364359.35,0,0,672428.87,6.0,2006.0
79,2006-07-01,210255.7,392252.91,0,0,684438.7,7.0,2006.0
80,2006-08-01,211202.14,394585.28,0,0,707219.69,8.0,2006.0
81,2006-09-01,204369.99,382724.97,0,0,650791.38,9.0,2006.0
82,2006-10-01,203061.39,400793.81,0,0,683543.13,10.0,2006.0
83,2006-11-01,205541.91,401922.57,0,0,739181.99,11.0,2006.0
84,2006-12-01,233936.83,454373.13,0,0,776330.26,12.0,2006.0
85,2007-01-01,216560.79,418412.86,0,0,810372.66,1.0,2007.0
86,2007-02-01,204991.91,401425.14,0,0,799394.6,2.0,2007.0
87,2007-03-01,239019.91,454731.09,0,0,956680.19,3.0,2007.0
88,2007-04-01,217536.23,403732.56,0,0,758988.58,4.0,2007.0
89,2007-05-01,224400.73,426414.71,0,0,811703.69,5.0,2007.0
90,2007-06-01,217473.91,390991.36,0,0,720896.77,6.0,2007.0
91,2007-07-01,219874.23,416497.41,0,0,721550.61,7.0,2007.0
92,2007-08-01,236565.57,411088.53,0,0,736620.9,8.0,2007.0
93,2007-09-01,207241.84,390568.99,0,0,669587.88,9.0,2007.0
94,2007-10-01,224750.77,419001.81,0,0,738702.86,10.0,2007.0
95,2007-11-01,218116.79,417490.77,0,0,779547.05,11.0,2007.0
96,2007-12-01,252394.11428571425,438542.79333333333,0,0,768886.87,12.0,2007.0
97,2008-01-01,213645.39,403266.74,0,0,797668.91,1.0,2008.0
98,2008-02-01,215873.67,407735.55,0,0,794000.25,2.0,2008.0
99,2008-03-01,233761.07,424157.28,0,0,776026.79,3.0,2008.0
100,2008-04-01,233687.28,399193.53,0,0,807725.77,4.0,2008.0
101,2008-05-01,236635.85,390882.63,0,0,682326.18,5.0,2008.0
102,2008-06-01,200656.57,337464.32,0,0,507662.65,6.0,2008.0
103,2008-07-01,228640.21,374847.05,0,0,544399.26,7.0,2008.0
104,2008-08-01,227499,378363.76,0,0,556174.4,8.0,2008.0
105,2008-09-01,218214.64,367962.73,0,0,557802.62,9.0,2008.0
106,2008-10-01,238955.44,386430.4,0,0,617863.13,10.0,2008.0
107,2008-11-01,238626.16,375438.69,0,0,688104.11,11.0,2008.0
108,2008-12-01,298245.47,463343.73,0,0,778953.84,12.0,2008.0
109,2009-01-01,273494.16,424264.5,0,0,800526.47,1.0,2009.0
110,2009-02-01,254667.7,424438.71,0,0,795050.51,2.0,2009.0
111,2009-03-01,290343.27999999997,434248.69,0,0,865981.57,3.0,2009.0
112,2009-04-01,290887.08,454265.4,0,0,822109.7400000001,4.0,2009.0
113,2009-05-01,276970.67,432401.49,0,0,770687.2799999999,5.0,2009.0
114,2009-06-01,252551.99000000002,393140.38,0,0,703815.5499999999,6.0,2009.0
115,2009-07-01,283142.05,435256.08999999997,0,0,740868.09,7.0,2009.0
116,2009-08-01,267830.84,409182.96,0,0,692376.6999999998,8.0,2009.0
117,2009-09-01,248994.41999999998,420238.71,0,0,687435.1000000001,9.0,2009.0
118,2009-10-01,269008.52,421753.29000000004,0,0,775739.56,10.0,2009.0
119,2009-11-01,212149.905,391754.81,0,0,738678.6499999999,11.0,2009.0
120,2009-12-01,296805.29000000004,449842.29000000004,0,0,891670.4099999999,12.0,2009.0
121,2010-01-01,243341.49000000002,389068.41,0,0,777741.3400000001,1.0,2010.0
122,2010-02-01,248207.93000000002,391195.69000000006,0,0,807692.1,2.0,2010.0
123,2010-03-01,320985.41000000003,465664.59,0,0,1017058.18,3.0,2010.0
124,2010-04-01,254872.61000000002,387063.18,0,0,762770.0099999999,4.0,2010.0
125,2010-05-01,238903.31,381811.17999999993,0,0,721668.1799999999,5.0,2010.0
126,2010-06-01,251896.38999999998,385981.1,0,0,683236.54,6.0,2010.0
127,2010-07-01,278700.49,422481.8,0,0,721584.6000000001,7.0,2010.0
128,2010-08-01,268917.79,410176.38999999996,0,0,695796.3300000001,8.0,2010.0
129,2010-09-01,266975.25,396429.75,0,0,687553.88,9.0,2010.0
130,2010-10-01,275031.20999999996,418305.07000000007,0,0,745415.5100000001,10.0,2010.0
131,2010-11-01,273452.94,409652.73,0,0,785917.4000000001,11.0,2010.0
132,2010-12-01,320807.17,466766.78,0,0,843762,12.0,2010.0
133,2011-01-01,285089.04000000004,411737.32999999996,0,0,850696.7899999999,1.0,2011.0
134,2011-02-01,269301.38,391131.1,0,0,819940.5,2.0,2011.0
135,2011-03-01,281453.75,393160.91,0,0,900485.91,3.0,2011.0
136,2011-04-01,285598.37,386749.27,0,0,797527.23,4.0,2011.0
137,2011-05-01,253277.88,371876.74999999994,0,0,803849.5299999999,5.0,2011.0
138,2011-06-01,290137.49000000005,380800.43,0,0,729676.79,6.0,2011.0
139,2011-07-01,279283.36,389294.64,0,0,718255.06,7.0,2011.0
140,2011-08-01,256380.26999999996,408494.50999999995,0,0,699736.08,8.0,2011.0
141,2011-09-01,256728.25000000003,380453.23,0,0,660384.9299999999,9.0,2011.0
142,2011-10-01,242071.00999999998,381309.5,0,0,672214.9299999999,10.0,2011.0
143,2011-11-01,231413.83,381871.84,0,0,794507.24,11.0,2011.0
144,2011-12-01,291678.03,449904.1,0,0,862318.7999999999,12.0,2011.0
145,2012-01-01,261933.68,393781.93999999994,0,0,814956.7200000001,1.0,2012.0
146,2012-02-01,253733.21999999997,402633.55,0,0,848067.2499999999,2.0,2012.0
147,2012-03-01,290286.65,429534.5,0,0,925065.27,3.0,2012.0
148,2012-04-01,262615.27999999997,389264.01999999996,0,0,792201.73,4.0,2012.0
149,2012-05-01,235374.04,405877.41000000003,0,0,771542.4700000001,5.0,2012.0
150,2012-06-01,261012.58000000002,409111.24,0,0,712464.94,6.0,2012.0
151,2012-07-01,233061.34999999998,420370.60000000003,0,0,699130.0399999999,7.0,2012.0
152,2012-08-01,259165.94,433828.01999999996,0,0,716720.36,8.0,2012.0
153,2012-09-01,228205.77,378478.8,0,0,632120.3700000001,9.0,2012.0
154,2012-10-01,261347.22,414523.22000000003,0,0,728414.8799999999,10.0,2012.0
155,2012-11-01,272657.82,394751.47,0,0,812523.4400000001,11.0,2012.0
156,2012-12-01,310407.04,442191.42999999993,0,0,848262.93,12.0,2012.0
157,2013-01-01,287985.59,408557.45,0,0,863769.4099999999,1.0,2013.0
158,2013-02-01,259659.66,361215.69,0,0,808853.9700000001,2.0,2013.0
159,2013-03-01,313075.44999999995,413744.8599999999,0,0,898352.2,3.0,2013.0
160,2013-04-01,330070.65,409238.3,0,0,966103.9199999999,4.0,2013.0
161,2013-05-01,313131.36,403354.79,0,0,827601.25,5.0,2013.0
162,2013-06-01,287596.64,402012.07,0,0,775187.12286,6.0,2013.0
163,2013-07-01,314185.61,425154.22000000003,0,0,732544.52,7.0,2013.0
164,2013-08-01,288400.67,416968.14999999997,0,0,773147.9,8.0,2013.0
165,2013-09-01,249357.41999999998,379479.78,0,0,672125.1600000001,9.0,2013.0
166,2013-10-01,314518.72000000003,430179.69,0,0,800049.1200000001,10.0,2013.0
167,2013-11-01,306638.45,404692.46,0,0,821457.4500000001,11.0,2013.0
168,2013-12-01,339969.85,448135.35,0,0,860351.9000000001,12.0,2013.0
169,2014-01-01,312139.77,412617.92999999993,0,0,917251.54,1.0,2014.0
170,2014-02-01,312142.65,385430.58,0,0,890362.3099999999,2.0,2014.0
171,2014-03-01,335869.63,434863.95999999996,0,0,1004937.39,3.0,2014.0
172,2014-04-01,349155.29999999993,437470.06999999995,0,0,972039.4199999999,4.0,2014.0
173,2014-05-01,332737.37,427487.20000000007,0,0,877263.31,5.0,2014.0
174,2014-06-01,303016.82,387299.1,0,0,733508.7,6.0,2014.0
175,2014-07-01,344659.64,439137.13,0,0,826918.8099999999,7.0,2014.0
176,2014-08-01,326356.06000000006,442953.10000000003,0,0,793694.01,8.0,2014.0
177,2014-09-01,371327.13000000006,411466.28,0,0,728498.8400000001,9.0,2014.0
178,2014-10-01,343812.67,459922.48,0,0,836278.1200000001,10.0,2014.0
179,2014-11-01,343918.56000000006,436467.89999999997,0,0,885713.74,11.0,2014.0
180,2014-12-01,464223.15,538899.26,0,0,1021378.09,12.0,2014.0
181,2015-01-01,419102.71999999986,503135.7,0,0,1014706.21,1.0,2015.0
182,2015-02-01,398167.69000000006,454190.88,0,0,980149.84,2.0,2015.0
183,2015-03-01,457246.13999999996,521879.26,0,0,1142551.0599999998,3.0,2015.0
184,2015-04-01,413451.11,486779.41000000003,0,0,1011167.74,4.0,2015.0
185,2015-05-01,415570.94999999995,483594.8300000001,0,0,944316.6599999999,5.0,2015.0
186,2015-06-01,414466.18,480892.11000000004,0,0,880016.47,6.0,2015.0
187,2015-07-01,440729.52999999997,515322.6599999999,0,0,902586.3600000001,7.0,2015.0
188,2015-08-01,439588.9,513413,0,0,887796.8499999999,8.0,2015.0
189,2015-09-01,422826.5854761905,501658.0433333333,0,0,734654.215,9.0,2015.0
190,2015-10-01,448971.87999999995,532741.14,0,0,834285.95,10.0,2015.0
191,2015-11-01,423841.81999999995,516486.95,0,0,925430.9999999999,11.0,2015.0
192,2015-12-01,499839.17,600161.72,0,0,1047478.84,12.0,2015.0
193,2016-01-01,433180.33999999997,545737.53,0,0,1084043.6300000001,1.0,2016.0
194,2016-02-01,450916.35,540459.19,0,0,1055672.6400000001,2.0,2016.0
195,2016-03-01,486255.94000000006,575720.92,0,0,1107296.65,3.0,2016.0
196,2016-04-01,467472.2,545605.47,0,0,1149175.1921428572,4.0,2016.0
197,2016-05-01,468710.37999999995,551000.79,0,0,1019984.4000000001,5.0,2016.0
198,2016-06-01,450758.18000000005,537583.25,0,0,888538.1,6.0,2016.0
199,2016-07-01,465270.48000000004,562778.84,0,0,883716.04,7.0,2016.0
200,2016-08-01,485995.83,585748.5,0,0,866270.02,8.0,2016.0
201,2016-09-01,456946.75,548491.65,0,0,877800.5599999999,9.0,2016.0
202,2016-10-01,476277.64,573754.73,0,0,916410.7,10.0,2016.0
203,2016-11-01,463726.20999999996,547323.5299999999,0,0,1019671.97,11.0,2016.0
204,2016-12-01,524242.31000000006,615251.51,0,0,1113827.0999999999,12.0,2016.0
205,2017-01-01,477291.93,546212.16,743150.08,336189.22,0,1.0,2017.0
206,2017-02-01,453665.32,526888.94,850327.72,202208.29,0,2.0,2017.0
207,2017-03-01,523943.6,592249.34,985397.09,231026.33,0,3.0,2017.0
208,2017-04-01,500063.03,530345.96,862868.15,169945.14,0,4.0,2017.0
209,2017-05-01,516884.37,588861.62,834275.34,200530.9,0,5.0,2017.0
210,2017-06-01,478491.95,549378.05,711973.27,185538.62,0,6.0,2017.0
211,2017-07-01,521730.41,607702.7,751633.8,187253.84,0,7.0,2017.0
212,2017-08-01,514086.57,604650.34,760201.87,189986.27,0,8.0,2017.0
213,2017-09-01,492618.55,560892.67,712454.6,181908.98,0,9.0,2017.0
214,2017-10-01,512762.32,583658.83,752527.69,183458.48,0,10.0,2017.0
215,2017-11-01,510631.29,563345.61,848964.17,189634.09,0,11.0,2017.0
216,2017-12-01,574097.7,635423.76,1101478.59,16232.86,0,12.0,2017.0
217,2018-01-01,528763.3,581802.98,1105628.89,15763.64,0,1.0,2018.0
218,2018-02-01,502041.67,545210,1072071.67,14687.22,0,2.0,2018.0
219,2018-03-01,571052.13,618402.18,1194136.18,15893.32,0,3.0,2018.0
220,2018-04-01,526979.67,565665.72,1108452.97,14929.78,0,4.0,2018.0
