Fecha,Gasolina regular,Gasolina superior,Diesel bajo azufre,Diesel ultra bajo azufre,Diesel alto azufre,Mes,Año,Total_mensual
2001-01-01,177776.5,373963.96,0,0,566101.99,1.0,2001.0,1117842.45
2001-02-01,123115.99,243091.07,0,0,489525.8,2.0,2001.0,855732.86
2001-03-01,161726.42,312084.38,0,0,575559.68,3.0,2001.0,1049370.48
2001-04-01,127338.74,285054.89,0,0,437745.42,4.0,2001.0,850139.05
2001-05-01,168730.19,300913.67,0,0,552609.13,5.0,2001.0,1022252.99
2001-06-01,152899.09,333217.19,0,0,497855.26,6.0,2001.0,983971.54
2001-07-01,136299.13,195071.86,0,0,302350.02,7.0,2001.0,633721.01
2001-08-01,139365.07,268153.26,0,0,464159.13,8.0,2001.0,871677.46
2001-09-01,233643.75,308439.07,0,0,321952.94,9.0,2001.0,864035.76
2001-10-01,141550.22,305102.28,0,0,438989.55,10.0,2001.0,885642.05
2001-11-01,165841.46,256638.19,0,0,440245.35,11.0,2001.0,862725.0
2001-12-01,149217.67,277145.05,0,0,479983.27,12.0,2001.0,906345.99
2002-01-01,178585.93,271479.0,0,0,500041.32,1.0,2002.0,950106.25
2002-02-01,144447.25,365657.75,0,0,686923.83,2.0,2002.0,1197028.83
2002-03-01,104673.64,246292.6,0,0,432538.46,3.0,2002.0,783504.7
2002-04-01,190339.0,310256.3,0,0,424667.36,4.0,2002.0,925262.6599999999
2002-05-01,194830.1,363311.76,0,0,497781.66,5.0,2002.0,1055923.52
2002-06-01,137050.8,250123.19,0,0,496826.62,6.0,2002.0,884000.61
2002-07-01,222408.0,428842.8,0,0,636727.84,7.0,2002.0,1287978.6400000001
2002-08-01,143795.0,298280.33,0,0,346225.0,8.0,2002.0,788300.3300000001
2002-09-01,156956.9,331053.7,0,0,638933.22,9.0,2002.0,1126943.8199999998
2002-10-01,195426.8,352055.5,0,0,703749.81,10.0,2002.0,1251232.11
2002-11-01,153185.7,291188.76,0,0,573289.5,11.0,2002.0,1017663.96
2002-12-01,167596.71,440677.81,0,0,678749.64,12.0,2002.0,1287024.1600000001
2003-01-01,228269.5,425185.5,0,0,797344.38,1.0,2003.0,1450799.38
2003-02-01,214490.7,443849.85,0,0,765912.66,2.0,2003.0,1424253.21
2003-03-01,161257.48,363352.66,0,0,693942.31,3.0,2003.0,1218552.4500000002
2003-04-01,189824.89299999998,335444.69,0,0,873103.0959999998,4.0,2003.0,1398372.6789999998
2003-05-01,269981.86,459025.69,0,0,625190.08,5.0,2003.0,1354197.63
2003-06-01,182254.23,372486.53,0,0,671882.83,6.0,2003.0,1226623.5899999999
2003-07-01,133668.2,400922.97,0,0,822014.55,7.0,2003.0,1356605.72
2003-08-01,169903.86,292365.04,0,0,494087.13,8.0,2003.0,956356.03
2003-09-01,177217.53,398192.16,0,0,614913.68,9.0,2003.0,1190323.37
2003-10-01,181668.026,260219.92,0,0,433084.99,10.0,2003.0,874972.936
2003-11-01,205624.08,393951.96,0,0,627189.78,11.0,2003.0,1226765.82
2003-12-01,161477.73,296780.15,0,0,745524.88,12.0,2003.0,1203782.76
2004-01-01,173427.23,368235.14,0,0,762385.45,1.0,2004.0,1304047.8199999998
2004-02-01,147939.23,281891.97,0,0,460947.5,2.0,2004.0,890778.7
2004-03-01,275539.38,486880.82,0,0,772128.26,3.0,2004.0,1534548.46
2004-04-01,245156.34,415426.0,0,0,809194.95,4.0,2004.0,1469777.29
2004-05-01,178387.8,350052.95,0,0,634209.64,5.0,2004.0,1162650.3900000001
2004-06-01,133341.0,311238.01,0,0,461381.79,6.0,2004.0,905960.8
2004-07-01,152075.75,249710.68699999998,0,0,467154.31,7.0,2004.0,868940.747
2004-08-01,208592.85,434578.12,0,0,669462.53,8.0,2004.0,1312633.5
2004-09-01,218499.24,420550.29,0,0,714039.85,9.0,2004.0,1353089.38
2004-10-01,201907.67,366886.3,0,0,655715.05,10.0,2004.0,1224509.02
2004-11-01,215838.32,434710.94,0,0,726697.88,11.0,2004.0,1377247.1400000001
2004-12-01,227094.71,433149.96,0,0,781266.61,12.0,2004.0,1441511.28
2005-01-01,202374.33,257867.99,0,0,663058.79,1.0,2005.0,1123301.1099999999
2005-02-01,178104.72,306660.39,0,0,683664.39,2.0,2005.0,1168429.5
2005-03-01,217667.69,431907.81,0,0,778645.07,3.0,2005.0,1428220.5699999998
2005-04-01,234492.03,534151.81,0,0,708164.74,4.0,2005.0,1476808.58
2005-05-01,192734.4,378616.3,0,0,875087.62,5.0,2005.0,1446438.3199999998
2005-06-01,243343.68,537398.43,0,0,1041016.72,6.0,2005.0,1821758.83
2005-07-01,175946.3,363410.9,0,0,770731.74,7.0,2005.0,1310088.94
2005-08-01,173810.38,566618.55,0,0,815435.2,8.0,2005.0,1555864.13
